epoch time,date & time,smell value,skewed latitude,skewed longitude,zipcode,smell description,symptoms,additional comments
1667262125,11/01/2022 00:22:05 +00:00,3,40.4287,-79.8582,15221,Bad - steel mill ,Headache . Always ,I hate it 
1667268536,11/01/2022 02:08:56 +00:00,3,40.3442,-79.8741,15133,Industrial ,Asthmatic ,
1667268578,11/01/2022 02:09:38 +00:00,5,40.4844,-80.0495,15212,,,FOURTH OR FIFTH ENTRY TODAY. CONTINUED DIRTY SOOTY ODOR PERMEATES MY HOME. CHEST TIGHTNESS INHIBITING DEEP DIAPHRAGMATIC BREATHING. ACHD-YOU CONTINUE TO FAIL OUR COMMUNITY! EXISTING-NOT THRIVING OR LIVING MY BEST LIFE. IVE FAILED MY GRANDCHILDREN AND GREAT GRANDSON BY REMAINING IN THIS REGION.
1667302641,11/01/2022 11:37:21 +00:00,3,40.4221,-79.9013,15218,"Industrial, burning rubber",,
1667304252,11/01/2022 12:04:12 +00:00,5,40.4245,-79.8784,15218,,Eyes watering all night heavy cough wheezing.,It’s just been a constant assault for a few weeks up here in Swissvale slopes. Sinus and respiratory issues and watery eyes. 
1667304818,11/01/2022 12:13:38 +00:00,2,40.4255,-79.8834,15218,,,
1667306033,11/01/2022 12:33:53 +00:00,3,40.456,-80.0061,15212,metalic oilly,,
1667312428,11/01/2022 14:20:28 +00:00,4,40.4848,-80.0496,15212,,,
1667313009,11/01/2022 14:30:09 +00:00,3,40.4418,-79.9605,15213,Industrial ,,
1667317310,11/01/2022 15:41:50 +00:00,4,40.4318,-79.7871,15146,,,
1667321325,11/01/2022 16:48:45 +00:00,4,40.4436,-79.9596,15213,Industrial sulfur,,
1667323084,11/01/2022 17:18:04 +00:00,3,40.4774,-79.9587,15201,,,
1667336880,11/01/2022 21:08:00 +00:00,3,40.3401,-79.8757,15133,Mill debris,Hard to breathe,Every day occurrance
1667339335,11/01/2022 21:48:55 +00:00,5,40.4788,-79.9585,15201,Very strong chemical smell,,
1667348303,11/02/2022 00:18:23 +00:00,1,40.3212,-79.9689,15025,,,
1667355461,11/02/2022 02:17:41 +00:00,4,40.2606,-79.9215,15025,,,
1667363118,11/02/2022 04:25:18 +00:00,4,40.486,-80.0482,15212,,,
1667367207,11/02/2022 05:33:27 +00:00,4,40.4879,-79.9251,15206,Can't see my next door neighbor's house ,"Irritated eyes, irritated nose, irritated throat, irritated lungs, sleeplessness, insomnia, anxiety and tachycardia ",
1667384172,11/02/2022 10:16:12 +00:00,3,40.3879,-80.0425,15216,Clairton stench,Corporate greed being accepted ,
1667384303,11/02/2022 10:18:23 +00:00,5,40.4874,-79.9228,15206,Sulfury US Steel h*ll,"ears, nose, throat congested and raw. eyes red. headache, restless. particularly awful today",
