,date,percentage agreement average,percentage agreement sum,impact stats average,impact stats sum,correlation average,correlation sum
2018-8-1-morning,2018-8-1-morning,100.0,100.0,"                  Mean  Count       STD
smell value                            
1.0           8.067744      1       NaN
2.0          12.555562      1       NaN
3.0          11.034597      5  3.497086
3.5           9.656052      1       NaN
4.0          12.339679     10  3.707097
5.0           9.863182      4  2.424935","                  Mean  Count       STD
smell value                            
1.0           8.067744      1       NaN
2.0          12.555562      1       NaN
3.0          11.104815      4  4.034015
4.0          12.339679     10  3.707097
5.0          11.044261      3  0.671407
7.0           9.656052      1       NaN
10.0          6.319947      1       NaN
12.0         10.753724      1       NaN",0.05181051875843523,-0.19123325689255177
2018-8-1-afternoon,2018-8-1-afternoon,100.0,100.0,"                  Mean  Count        STD
smell value                             
2.0           6.987283      1        NaN
3.0          12.431831      1        NaN
4.0          13.871882      3  11.251011
5.0           8.454915      2   3.810440","                  Mean  Count        STD
smell value                             
2.0           6.987283      1        NaN
3.0          12.431831      1        NaN
4.0          13.871882      3  11.251011
5.0           8.454915      2   3.810440",0.034790702043995925,0.034790702043995925
2018-8-2-morning,2018-8-2-morning,100.0,100.0,"                  Mean  Count       STD
smell value                            
1.0           7.541253      2  3.246233
2.0          19.898126      1       NaN
3.0          11.574284      2  5.844849
4.0          12.069272      3  7.594589
5.0           5.702275      2  2.042841","                  Mean  Count       STD
smell value                            
1.0           7.541253      2  3.246233
2.0          19.898126      1       NaN
3.0          11.574284      2  5.844849
4.0          12.069272      3  7.594589
5.0           5.702275      2  2.042841",-0.15261668933493086,-0.15261668933493086
2018-8-2-afternoon,2018-8-2-afternoon,100.0,100.0,"                  Mean  Count        STD
smell value                             
1.000000      7.788087      2   7.513585
3.000000     25.264968     11  10.191543
3.333333     35.731048      1        NaN
4.000000     21.554378      9   4.662420
4.333333     31.446875      1        NaN
4.500000     36.825418      1        NaN
5.000000     24.596954      2   1.044882","                  Mean  Count        STD
smell value                             
1.0           2.475180      1        NaN
3.0          23.808665     11  10.716552
4.0          21.554378      9   4.662420
5.0          24.596954      2   1.044882
6.0          29.120337      1        NaN
9.0          36.825418      1        NaN
10.0         35.731048      1        NaN
13.0         31.446875      1        NaN",0.35580238718665835,0.4671670027975149
2018-8-3-morning,2018-8-3-morning,100.0,100.0,"                  Mean  Count        STD
smell value                             
3.0          16.852509      8  16.065641
4.0          11.594984      6  17.233085
5.0          17.447432      2  22.628193","                  Mean  Count        STD
smell value                             
3.0          16.852509      8  16.065641
4.0          11.594984      6  17.233085
5.0          17.447432      2  22.628193",-0.05853740344870099,-0.05853740344870099
2018-8-3-afternoon,2018-8-3-afternoon,100.0,100.0,"                  Mean  Count        STD
smell value                             
2.0          11.394642      1        NaN
3.0           8.232679      1        NaN
4.0          18.263869      2   6.777955
5.0          23.435023      2  11.300967","                  Mean  Count        STD
smell value                             
2.0          11.394642      1        NaN
3.0           8.232679      1        NaN
4.0          18.263869      2   6.777955
5.0          23.435023      2  11.300967",0.658649517175213,0.658649517175213
2018-8-4-morning,2018-8-4-morning,100.0,100.0,"                  Mean  Count        STD
smell value                             
3.0          26.005009      6   6.362960
4.0          24.198100      3  10.625800
5.0          13.370132      2  14.462413","                  Mean  Count        STD
smell value                             
3.0          26.005009      6   6.362960
4.0          28.419531      2  10.903778
5.0          13.370132      2  14.462413
8.0          15.755239      1        NaN",-0.4797720122614063,-0.4557746972802007
2018-8-4-afternoon,2018-8-4-afternoon,100.0,100.0,"                  Mean  Count       STD
smell value                            
1.0          17.791404      6  8.741879
3.0           8.019079      3  4.284098
4.0           4.693931      1       NaN","                  Mean  Count       STD
smell value                            
1.0          17.791404      6  8.741879
3.0           8.019079      3  4.284098
4.0           4.693931      1       NaN",-0.6301832592656855,-0.6301832592656855
2018-8-5-morning,2018-8-5-morning,100.0,100.0,"                  Mean  Count        STD
smell value                             
3.0          13.751880      4   7.384572
4.0          15.786849      2  10.000907","                  Mean  Count        STD
smell value                             
3.0          10.207712      3   2.535959
4.0          15.786849      2  10.000907
6.0          24.384385      1        NaN",0.1432326008933224,0.7596157127557263
2018-8-5-afternoon,2018-8-5-afternoon,100.0,100.0,"                  Mean  Count        STD
smell value                             
3.0          23.030060      4   5.348778
4.0          18.841546      5  12.665499
5.0          20.241095      3   9.593370","                  Mean  Count        STD
smell value                             
3.0          23.030060      4   5.348778
4.0          18.841546      5  12.665499
5.0          20.241095      3   9.593370",-0.13327737167753884,-0.13327737167753884
