,date,percentage agreement average,percentage agreement sum,impact stats average,impact stats sum,correlation average,correlation sum
2022-10-1-morning,2022-10-1-morning,100.0,100.0,"                  Mean  Count       STD
smell value                            
2.0           9.120437      1       NaN
3.0          20.212352      2  3.292471","                  Mean  Count       STD
smell value                            
2.0           9.120437      1       NaN
3.0          20.212352      2  3.292471",0.9398202588229432,0.9398202588229432
2022-10-2-afternoon,2022-10-2-afternoon,100.0,100.0,"                 Mean  Count       STD
smell value                           
3.0          1.397511      2  1.971657
4.0          5.274518      1       NaN
5.0          2.297120      1       NaN","                 Mean  Count       STD
smell value                           
3.0          1.397511      2  1.971657
4.0          5.274518      1       NaN
5.0          2.297120      1       NaN",0.3371527679038829,0.3371527679038829
2022-10-3-morning,2022-10-3-morning,100.0,100.0,"                  Mean  Count  STD
smell value                       
5.0          29.654804      1  NaN","                  Mean  Count  STD
smell value                       
5.0          29.654804      1  NaN",,
2022-10-3-afternoon,2022-10-3-afternoon,100.0,100.0,"                  Mean  Count       STD
smell value                            
3.0           5.182982      3  1.365544
4.0          10.217697      1       NaN","                  Mean  Count       STD
smell value                            
3.0           5.182982      3  1.365544
4.0          10.217697      1       NaN",0.9143316487305226,0.9143316487305226
2022-10-4-morning,2022-10-4-morning,100.0,100.0,"                 Mean  Count  STD
smell value                      
3.0          9.237084      1  NaN","                 Mean  Count  STD
smell value                      
3.0          9.237084      1  NaN",,
2022-10-4-afternoon,2022-10-4-afternoon,100.0,100.0,"                 Mean  Count       STD
smell value                           
2.0          2.747742      1       NaN
4.0          5.799507      3  1.496067
5.0          6.795953      3  3.608132","                 Mean  Count       STD
smell value                           
2.0          2.747742      1       NaN
4.0          5.799507      3  1.496067
5.0          6.795953      3  3.608132",0.5312602481841219,0.5312602481841219
2022-10-5-morning,2022-10-5-morning,100.0,100.0,"                  Mean  Count       STD
smell value                            
4.0          13.324116      2  5.252909
5.0           9.700264      1       NaN","                  Mean  Count       STD
smell value                            
4.0          13.324116      2  5.252909
5.0           9.700264      1       NaN",-0.49077798463851974,-0.49077798463851974
2022-10-5-afternoon,2022-10-5-afternoon,100.0,100.0,"                  Mean  Count       STD
smell value                            
4.0          12.061646      2  6.867816
5.0          12.322178      2  8.249451","                  Mean  Count       STD
smell value                            
4.0          12.061646      2  6.867816
5.0          12.322178      2  8.249451",0.024264359307846425,0.024264359307846425
2022-10-6-morning,2022-10-6-morning,100.0,100.0,"                  Mean  Count        STD
smell value                             
1.000000      8.075657      3   4.593601
3.000000     17.919423      6   7.195413
3.333333     33.369698      1        NaN
3.666667     20.048351      1        NaN
4.000000     24.601386     22   7.382246
4.250000     42.309222      1        NaN
4.333333     30.492769      1        NaN
4.428571     39.015425      1        NaN
4.500000     29.545738      9  12.710168
4.666667     26.535839      2  10.048594
5.000000     28.010922     30   9.679610","                  Mean  Count        STD
smell value                             
1.0           8.075657      3   4.593601
3.0          17.919423      6   7.195413
4.0          23.936355     19   7.221455
5.0          28.542462     23  10.544949
8.0          28.813245      3   8.489314
9.0          28.594784      7  14.122877
10.0         27.152590      8   6.404957
11.0         20.048351      1        NaN
13.0         30.492769      1        NaN
14.0         26.535839      2  10.048594
17.0         42.309222      1        NaN
18.0         32.874078      2   8.195556
31.0         39.015425      1        NaN",0.42983394460062985,0.3451198992547457
2022-10-6-afternoon,2022-10-6-afternoon,94.11764705882352,94.11764705882352,"                  Mean  Count       STD
smell value                            
2.0          22.596936      1       NaN
3.0           3.739436      2  5.288361
4.0          14.460716      7  8.519047
5.0          11.619490      7  8.499291","                     Mean  Count       STD
smell value                               
2.0          2.259694e+01      1       NaN
3.0          3.739436e+00      2  5.288361
4.0          1.446072e+01      7  8.519047
5.0          1.355607e+01      6  7.428500
10.0         2.321003e-07      1       NaN",-0.07289990550039128,-0.3119103817230096
2022-10-7-morning,2022-10-7-morning,100.0,100.0,"                  Mean  Count        STD
smell value                             
3.0          19.456403      3  17.444123
4.0          17.004540      2   5.324275
5.0           8.503734      2   9.984123","                  Mean  Count        STD
smell value                             
3.0          19.456403      3  17.444123
4.0          17.004540      2   5.324275
5.0           8.503734      2   9.984123",-0.3923249563850964,-0.3923249563850964
2022-10-7-afternoon,2022-10-7-afternoon,100.0,100.0,"                  Mean  Count       STD
smell value                            
1.0           5.793761      1       NaN
2.0           3.853119      1       NaN
3.0           5.099260      3  2.525147
5.0          15.635307      2  7.755352","                  Mean  Count       STD
smell value                            
1.0           5.793761      1       NaN
2.0           3.853119      1       NaN
3.0           5.099260      3  2.525147
5.0          15.635307      2  7.755352",0.7080820666532177,0.7080820666532177
2022-10-8-morning,2022-10-8-morning,100.0,100.0,"                  Mean  Count  STD
smell value                       
3.0          15.301915      1  NaN","                  Mean  Count  STD
smell value                       
3.0          15.301915      1  NaN",,
2022-10-8-afternoon,2022-10-8-afternoon,100.0,100.0,"                  Mean  Count     STD
smell value                          
1.0          12.350205      1     NaN
2.0           5.797394      1     NaN
4.0          11.041801      1     NaN
5.0          11.482006      2  4.6786","                  Mean  Count     STD
smell value                          
1.0          12.350205      1     NaN
2.0           5.797394      1     NaN
4.0          11.041801      1     NaN
5.0          11.482006      2  4.6786",0.21921745875045848,0.21921745875045848
