,date,percentage agreement average,percentage agreement sum,impact stats average,impact stats sum,correlation average,correlation sum
2018-08-01-01,2018-08-01 01:00:00,100.0,100.0,"                 Mean  Count       STD
smell value                           
2.0          0.824590      1       NaN
4.0          0.127668      4  0.100208","                 Mean  Count       STD
smell value                           
2.0          0.824590      1       NaN
4.0          0.167811      3  0.073442
8.0          0.007240      1       NaN",-0.9633531344436683,-0.7598306068564953
2018-08-01-02,2018-08-01 02:00:00,100.0,100.0,"                 Mean  Count       STD
smell value                           
3.0          0.544836      3  0.870978","                 Mean  Count       STD
smell value                           
3.0          0.544836      3  0.870978",,
2018-08-01-03,2018-08-01 03:00:00,100.0,100.0,"                 Mean  Count       STD
smell value                           
2.0          1.262232      1       NaN
3.0          0.000107      4  0.000204
4.0          0.587501      2  0.830846
5.0          0.001643      1       NaN","                 Mean  Count       STD
smell value                           
2.0          1.262232      1       NaN
3.0          0.000107      4  0.000204
4.0          0.587501      2  0.830846
5.0          0.001643      1       NaN",-0.27590795658791245,-0.27590795658791245
2018-08-01-04,2018-08-01 04:00:00,100.0,100.0,"                     Mean  Count       STD
smell value                               
4.0          4.422116e-01      2  0.197801
5.0          2.488257e-07      1       NaN","                     Mean  Count       STD
smell value                               
4.0          4.422116e-01      2  0.197801
5.0          2.488257e-07      1       NaN",-0.8770194285368793,-0.8770194285368793
2018-08-01-05,2018-08-01 05:00:00,100.0,100.0,"                 Mean  Count  STD
smell value                      
4.0          2.949508      1  NaN
5.0          0.651582      1  NaN","                 Mean  Count  STD
smell value                      
4.0          2.949508      1  NaN
5.0          0.651582      1  NaN",-1.0,-1.0
2018-08-01-07,2018-08-01 07:00:00,100.0,100.0,"                 Mean  Count  STD
smell value                      
5.0          0.066771      1  NaN","                 Mean  Count  STD
smell value                      
5.0          0.066771      1  NaN",,
2018-08-01-08,2018-08-01 08:00:00,100.0,100.0,"                 Mean  Count  STD
smell value                      
4.0          0.023579      1  NaN","                 Mean  Count  STD
smell value                      
4.0          0.023579      1  NaN",,
2018-08-01-09,2018-08-01 09:00:00,100.0,100.0,"                 Mean  Count  STD
smell value                      
1.0          0.925365      1  NaN
3.0          1.482751      1  NaN","                 Mean  Count  STD
smell value                      
1.0          0.925365      1  NaN
3.0          1.482751      1  NaN",1.0000000000000002,1.0000000000000002
2018-08-01-10,2018-08-01 10:00:00,100.0,100.0,"                 Mean  Count  STD
smell value                      
2.0          8.228925      1  NaN
5.0          4.070081      1  NaN","                 Mean  Count  STD
smell value                      
2.0          8.228925      1  NaN
5.0          4.070081      1  NaN",-1.0,-1.0
2018-08-01-11,2018-08-01 11:00:00,100.0,100.0,"                 Mean  Count       STD
smell value                           
3.0          0.529501      2  0.618337
4.0          2.038932      4  1.752397
5.0          0.049440      2  0.010783","                 Mean  Count       STD
smell value                           
3.0          0.966731      1       NaN
4.0          2.038932      4  1.752397
5.0          0.049440      2  0.010783
6.0          0.092270      1       NaN",-0.12021507065929762,-0.4314301198960907
2018-08-01-12,2018-08-01 12:00:00,100.0,100.0,"                 Mean  Count       STD
smell value                           
3.0          0.410542      3  0.394237
3.5          1.419018      1       NaN
4.0          1.223560      4  0.954212
5.0          1.394866      1       NaN","                 Mean  Count       STD
smell value                           
3.0          0.410542      3  0.394237
4.0          1.223560      4  0.954212
5.0          1.394866      1       NaN
7.0          1.419018      1       NaN",0.47813596543396986,0.44430532907297743
2018-08-01-13,2018-08-01 13:00:00,100.0,100.0,"                 Mean  Count  STD
smell value                      
3.0          0.056193      1  NaN
4.0          1.450932      1  NaN","                 Mean  Count  STD
smell value                      
3.0          0.056193      1  NaN
4.0          1.450932      1  NaN",1.0000000000000002,1.0000000000000002
2018-08-01-14,2018-08-01 14:00:00,100.0,100.0,"                 Mean  Count  STD
smell value                      
3.5          1.334898      1  NaN
4.0          0.289494      1  NaN","                 Mean  Count  STD
smell value                      
4.0          0.289494      1  NaN
7.0          1.334898      1  NaN",-1.0,1.0
2018-08-01-15,2018-08-01 15:00:00,100.0,100.0,"                 Mean  Count  STD
smell value                      
2.0          0.000022      1  NaN
4.0          0.000002      1  NaN
5.0          0.922348      1  NaN","                 Mean  Count  STD
smell value                      
2.0          0.000022      1  NaN
4.0          0.000002      1  NaN
5.0          0.922348      1  NaN",0.7559167663547948,0.7559167663547948
2018-08-01-16,2018-08-01 16:00:00,100.0,100.0,"                 Mean  Count  STD
smell value                      
3.0          1.233459      1  NaN
4.0          0.012710      1  NaN","                 Mean  Count  STD
smell value                      
3.0          1.233459      1  NaN
4.0          0.012710      1  NaN",-0.9999999999999998,-0.9999999999999998
2018-08-01-18,2018-08-01 18:00:00,0.0,0.0,"             Mean  Count  STD
smell value                  
5.0           0.0      1  NaN","             Mean  Count  STD
smell value                  
5.0           0.0      1  NaN",,
2018-08-01-21,2018-08-01 21:00:00,0.0,0.0,"             Mean  Count  STD
smell value                  
4.0           0.0      1  NaN","             Mean  Count  STD
smell value                  
4.0           0.0      1  NaN",,
2018-08-01-23,2018-08-01 23:00:00,100.0,100.0,"                     Mean  Count  STD
smell value                          
2.0          9.333048e-08      1  NaN
4.0          1.096508e-02      1  NaN","                     Mean  Count  STD
smell value                          
2.0          9.333048e-08      1  NaN
4.0          1.096508e-02      1  NaN",1.0,1.0
2018-08-02-00,2018-08-02 00:00:00,100.0,100.0,"                 Mean  Count       STD
smell value                           
1.0          0.000120      1       NaN
4.0          2.828486      2  0.433282","                 Mean  Count       STD
smell value                           
1.0          0.000120      1       NaN
4.0          2.828486      2  0.433282",0.9828507029464191,0.9828507029464191
2018-08-02-01,2018-08-02 01:00:00,100.0,100.0,"                 Mean  Count       STD
smell value                           
1.0          0.151674      2  0.156919","                 Mean  Count       STD
smell value                           
1.0          0.151674      2  0.156919",,
2018-08-02-02,2018-08-02 02:00:00,100.0,100.0,"                 Mean  Count  STD
smell value                      
2.0          0.252907      1  NaN","                 Mean  Count  STD
smell value                      
2.0          0.252907      1  NaN",,
2018-08-02-03,2018-08-02 03:00:00,100.0,100.0,"                 Mean  Count  STD
smell value                      
5.0          5.993934      1  NaN","                 Mean  Count  STD
smell value                      
5.0          5.993934      1  NaN",,
2018-08-02-09,2018-08-02 09:00:00,100.0,100.0,"                 Mean  Count  STD
smell value                      
4.0          1.242074      1  NaN","                 Mean  Count  STD
smell value                      
4.0          1.242074      1  NaN",,
2018-08-02-10,2018-08-02 10:00:00,100.0,100.0,"                 Mean  Count       STD
smell value                           
1.0          1.971071      2  2.787516
3.0          7.440128      1       NaN
4.0          3.219750      1       NaN","                 Mean  Count       STD
smell value                           
1.0          1.971071      2  2.787516
3.0          7.440128      1       NaN
4.0          3.219750      1       NaN",0.4576535828924315,0.4576535828924315
2018-08-02-11,2018-08-02 11:00:00,100.0,100.0,"                 Mean  Count  STD
smell value                      
5.0          0.000773      1  NaN","                 Mean  Count  STD
smell value                      
5.0          0.000773      1  NaN",,
2018-08-02-12,2018-08-02 12:00:00,100.0,100.0,"                 Mean  Count  STD
smell value                      
2.0          2.071998      1  NaN
3.0          0.000024      1  NaN
4.0          2.164847      1  NaN","                 Mean  Count  STD
smell value                      
2.0          2.071998      1  NaN
3.0          0.000024      1  NaN
4.0          2.164847      1  NaN",0.03793059694801458,0.03793059694801458
2018-08-02-13,2018-08-02 13:00:00,100.0,100.0,"                     Mean  Count  STD
smell value                          
5.0          1.942864e-07      1  NaN","                     Mean  Count  STD
smell value                          
5.0          1.942864e-07      1  NaN",,
2018-08-02-14,2018-08-02 14:00:00,100.0,100.0,"                 Mean  Count       STD
smell value                           
4.0          0.616274      2  0.871543","                 Mean  Count       STD
smell value                           
4.0          0.616274      2  0.871543",,
2018-08-02-15,2018-08-02 15:00:00,100.0,100.0,"                 Mean  Count       STD
smell value                           
1.0          0.000037      2  0.000052
3.0          2.210442      2  3.126038","                 Mean  Count       STD
smell value                           
1.0          0.000037      2  0.000052
3.0          2.210442      2  3.126038",0.5773438828741753,0.5773438828741753
2018-08-02-16,2018-08-02 16:00:00,100.0,100.0,"                 Mean  Count       STD
smell value                           
1.0          0.000002      1       NaN
3.0          0.035599      1       NaN
4.0          3.670783      2  1.529419","                 Mean  Count       STD
smell value                           
1.0          0.000002      1       NaN
3.0          0.035599      1       NaN
4.0          3.670783      2  1.529419",0.7568049138960492,0.7568049138960492
2018-08-02-17,2018-08-02 17:00:00,100.0,100.0,"                 Mean  Count  STD
smell value                      
3.0          4.782856      1  NaN","                 Mean  Count  STD
smell value                      
3.0          4.782856      1  NaN",,
