,smell value,TEST
0,3.0,7.352e-06
1,4.0,1.464e-05
2,4.0,0.0
3,5.0,7.352e-06
4,4.0,0.0
5,4.0,7.35e-06
6,9.0,0.035948513
7,14.0,2.2057e-05
8,3.0,0.000198539
9,10.0,0.000463022
10,3.0,0.000190989
11,5.0,0.000433599
12,4.0,0.009971544
13,5.0,0.000294232
14,5.0,0.04422659
15,4.0,0.14523344
16,5.0,0.160304253
17,5.0,0.076184172
18,5.0,0.002521868
19,3.0,0.133884088
20,4.0,0.002196774
21,4.0,0.039795791
22,14.0,0.012946183
23,5.0,0.04508178
24,5.0,0.04113995
25,7.0,0.098488802
26,5.0,0.069152387
27,4.0,0.042093904
28,7.0,0.030978827
29,5.0,0.053723816
30,5.0,0.042925753
31,4.0,0.033825935
32,4.0,0.0
33,5.0,0.024294946
34,5.0,0.035053924
35,3.0,0.0
0,4.0,0.0
1,4.0,0.0
2,10.0,0.029434206
3,5.0,0.0
4,8.0,0.0
5,5.0,0.0
6,4.0,0.0
7,4.0,0.019351536
8,4.0,0.000806462
9,5.0,0.019062134
10,3.0,0.044477533
11,5.0,0.0
12,4.0,0.012340488
13,4.0,0.000310259
14,3.0,0.057817739
15,5.0,0.009957145
16,5.0,0.022722119
17,4.0,0.060845678
18,4.0,0.06981785
19,3.0,0.022097224999999998
20,4.0,0.0
21,4.0,0.013500007999999999
22,5.0,0.199646868
23,5.0,0.11432394
24,4.0,8.539e-06
25,3.0,0.0
0,4.0,0.0
1,4.0,0.004429036
2,3.0,0.0
3,4.0,0.011098964
4,3.0,0.072524776
5,7.0,0.14143865
6,3.0,0.008714064
7,3.0,0.007824961
8,4.0,0.09202969
9,12.0,0.093784664
10,4.0,0.096802175
11,4.0,0.143784807
12,4.0,0.0
13,4.0,0.0
14,5.0,0.148641872
15,3.0,0.093795839
16,5.0,0.208304993
17,5.0,0.100703785
18,4.0,0.06291806900000001
19,9.0,0.051945833
20,4.0,0.048607358
21,4.0,0.042030486
22,5.0,0.129412758
23,5.0,0.207991906
24,5.0,0.198916445
25,5.0,0.054159838
26,4.0,0.044688487
27,9.0,0.052055958
28,5.0,0.045046153
29,5.0,0.998961752
30,5.0,0.361501691
31,4.0,0.193645257
32,4.0,0.102060659
33,5.0,0.288296413
34,5.0,0.050069534
0,1.0,0.0
1,4.0,0.000898422
2,3.0,0.0
3,4.0,0.026219059
4,5.0,0.044871788
5,3.0,0.00290485
6,5.0,4.071e-05
7,4.0,0.0052723250000000004
8,5.0,0.00114157
9,3.0,0.002722188
10,4.0,0.002285477
11,3.0,0.005763357
12,4.0,0.003599008
13,5.0,0.006875642
14,4.0,0.004311518
15,5.0,0.006029122
16,4.0,0.003715622
17,3.0,0.004914104
18,4.0,0.083860921
