,date,percentage_agreement_avg,percentage_agreement_sum,impact_stats_avg,impact_stats_sum,corr_avg,corr_sum
2019-1-1-morning,2019-1-1-morning,0.0,0.0,"             Mean  Count  STD
smell value                  
4.0           0.0      1  NaN","             Mean  Count  STD
smell value                  
4.0           0.0      1  NaN",,
2019-1-1-afternoon,2019-1-1-afternoon,50.0,50.0,"                 Mean  Count       STD
smell value                           
4.0          0.000182      2  0.000257","                 Mean  Count  STD
smell value                      
4.0          0.000000      1  NaN
8.0          0.000363      1  NaN",,1.0
2019-1-2-morning,2019-1-2-morning,50.0,50.0,"                 Mean  Count       STD
smell value                           
1.0          0.108770      1       NaN
3.0          0.000000      1       NaN
4.0          0.004383      2  0.006198","                 Mean  Count       STD
smell value                           
1.0          0.108770      1       NaN
3.0          0.000000      1       NaN
4.0          0.004383      2  0.006198",-0.9269761012923565,-0.9269761012923565
2019-1-2-afternoon,2019-1-2-afternoon,85.71428571428571,85.71428571428571,"                 Mean  Count       STD
smell value                           
1.0          0.006482      1       NaN
2.0          0.004764      1       NaN
3.0          0.031289      3  0.027727
4.0          0.002034      2  0.002876","                 Mean  Count       STD
smell value                           
1.0          0.006482      1       NaN
2.0          0.004764      1       NaN
3.0          0.031289      3  0.027727
4.0          0.002034      2  0.002876",0.013843496735163061,0.013843496735163061
2019-1-3-morning,2019-1-3-morning,50.0,50.0,"                 Mean  Count  STD
smell value                      
1.0          0.000036      1  NaN
3.0          0.000000      1  NaN","                 Mean  Count  STD
smell value                      
1.0          0.000036      1  NaN
3.0          0.000000      1  NaN",-1.0,-1.0
2019-1-3-afternoon,2019-1-3-afternoon,50.0,50.0,"                 Mean  Count  STD
smell value                      
1.0          0.000007      1  NaN
3.5          0.000000      1  NaN
4.0          0.000000      1  NaN
5.0          0.025223      1  NaN","                 Mean  Count  STD
smell value                      
1.0          0.000007      1  NaN
4.0          0.000000      1  NaN
5.0          0.025223      1  NaN
7.0          0.000000      1  NaN",0.6364072179399909,0.19977109902174012
2019-1-4-morning,2019-1-4-morning,81.81818181818183,81.81818181818183,"                 Mean  Count       STD
smell value                           
1.0          0.000733      1       NaN
2.5          0.001936      1       NaN
3.0          0.003493      5  0.002685
4.0          0.002133      4  0.002268","                 Mean  Count       STD
smell value                           
1.0          0.000733      1       NaN
3.0          0.003493      5  0.002685
4.0          0.002133      4  0.002268
5.0          0.001936      1       NaN",0.10595690065388635,0.02174056103747632
2019-1-4-afternoon,2019-1-4-afternoon,100.0,100.0,"                 Mean  Count       STD
smell value                           
2.0          0.009416      2  0.000246
3.0          0.011894     16  0.009169
3.5          0.012000      4  0.002832
4.0          0.011857     28  0.005821
4.5          0.015345      2  0.009991
5.0          0.066164     12  0.134638","                 Mean  Count       STD
smell value                           
2.0          0.009416      2  0.000246
3.0          0.011674     14  0.009812
4.0          0.012369     23  0.006245
5.0          0.066164     12  0.134638
6.0          0.012012      1       NaN
7.0          0.012000      4  0.002832
8.0          0.009502      5  0.002410
9.0          0.015180      3  0.007070",0.26169280221417707,0.0336847174718319
2019-1-5-morning,2019-1-5-morning,100.0,100.0,"                 Mean  Count      STD
smell value                          
1.0          0.019270      2  0.00563
2.0          0.013891      1      NaN","                 Mean  Count      STD
smell value                          
1.0          0.019270      2  0.00563
2.0          0.013891      1      NaN",-0.6151187242952957,-0.6151187242952957
2019-1-5-afternoon,2019-1-5-afternoon,75.0,75.0,"                 Mean  Count       STD
smell value                           
1.0          0.003040     10  0.004008
4.0          0.000229      2  0.000191","                 Mean  Count       STD
smell value                           
1.0          0.003040     10  0.004008
4.0          0.000229      2  0.000191",-0.28885371846387536,-0.28885371846387536
2019-1-6-afternoon,2019-1-6-afternoon,70.0,70.0,"                 Mean  Count       STD
smell value                           
1.0          0.020964      5  0.029206
3.0          0.002288      5  0.003136","                 Mean  Count       STD
smell value                           
1.0          0.020964      5  0.029206
3.0          0.002288      5  0.003136",-0.44910363035376655,-0.44910363035376655
