,date,percentage_agreement_avg,percentage_agreement_sum,impact_stats_avg,impact_stats_sum,corr_avg,corr_sum
2022-4-1-9,2022-4-1-9,0.0,0.0,"             Mean  Count  STD
smell value                  
4.0           0.0      1  NaN","             Mean  Count  STD
smell value                  
4.0           0.0      1  NaN",,
2022-4-1-12,2022-4-1-12,0.0,0.0,"             Mean  Count  STD
smell value                  
3.0           0.0      1  NaN","             Mean  Count  STD
smell value                  
3.0           0.0      1  NaN",,
2022-4-1-16,2022-4-1-16,0.0,0.0,"             Mean  Count  STD
smell value                  
2.0           0.0      1  NaN
3.0           0.0      1  NaN","             Mean  Count  STD
smell value                  
2.0           0.0      1  NaN
3.0           0.0      1  NaN",,
2022-4-1-23,2022-4-1-23,0.0,0.0,,,,
2022-4-2-1,2022-4-2-1,100.0,100.0,"                 Mean  Count  STD
smell value                      
1.0          0.000108      1  NaN","                 Mean  Count  STD
smell value                      
1.0          0.000108      1  NaN",,
2022-4-2-8,2022-4-2-8,0.0,0.0,"             Mean  Count  STD
smell value                  
2.0           0.0      1  NaN","             Mean  Count  STD
smell value                  
2.0           0.0      1  NaN",,
2022-4-2-13,2022-4-2-13,100.0,100.0,"                 Mean  Count  STD
smell value                      
2.0          0.002752      1  NaN","                 Mean  Count  STD
smell value                      
2.0          0.002752      1  NaN",,
2022-4-2-15,2022-4-2-15,100.0,100.0,"                 Mean  Count  STD
smell value                      
4.0          0.000036      1  NaN","                 Mean  Count  STD
smell value                      
4.0          0.000036      1  NaN",,
2022-4-2-16,2022-4-2-16,100.0,100.0,"                 Mean  Count  STD
smell value                      
3.0          0.000080      1  NaN
4.0          0.000505      1  NaN","                 Mean  Count  STD
smell value                      
3.0          0.000080      1  NaN
4.0          0.000505      1  NaN",1.0,1.0
2022-4-2-17,2022-4-2-17,100.0,100.0,"                 Mean  Count       STD
smell value                           
1.0          0.000087      1       NaN
2.0          0.000335      1       NaN
3.0          0.000234      1       NaN
4.0          0.007575      2  0.008794","                 Mean  Count       STD
smell value                           
1.0          0.000087      1       NaN
2.0          0.000335      1       NaN
3.0          0.000234      1       NaN
4.0          0.007575      2  0.008794",0.572283029132067,0.572283029132067
2022-4-2-20,2022-4-2-20,100.0,100.0,"                 Mean  Count       STD
smell value                           
3.0          0.001103      2  0.000099
3.5          0.000799      1       NaN
4.0          0.000758      3  0.000201","                 Mean  Count       STD
smell value                           
3.0          0.001103      2  0.000099
4.0          0.000758      3  0.000201
7.0          0.000799      1       NaN",-0.7510316194036598,-0.4265976686742664
2022-4-2-21,2022-4-2-21,100.0,100.0,"                 Mean  Count  STD
smell value                      
3.0          0.000515      1  NaN","                 Mean  Count  STD
smell value                      
3.0          0.000515      1  NaN",,
2022-4-2-22,2022-4-2-22,100.0,100.0,"                 Mean  Count  STD
smell value                      
3.0          0.000457      1  NaN","                 Mean  Count  STD
smell value                      
3.0          0.000457      1  NaN",,
2022-4-3-8,2022-4-3-8,0.0,0.0,"             Mean  Count  STD
smell value                  
3.0           0.0      1  NaN","             Mean  Count  STD
smell value                  
3.0           0.0      1  NaN",,
2022-4-3-14,2022-4-3-14,0.0,0.0,,,,
2022-4-3-16,2022-4-3-16,0.0,0.0,"             Mean  Count  STD
smell value                  
1.0           0.0      1  NaN","             Mean  Count  STD
smell value                  
1.0           0.0      1  NaN",,
2022-4-3-23,2022-4-3-23,100.0,100.0,"                Mean  Count  STD
smell value                     
1.0          0.00013      1  NaN","                Mean  Count  STD
smell value                     
1.0          0.00013      1  NaN",,
2022-4-4-11,2022-4-4-11,100.0,100.0,"                 Mean  Count      STD
smell value                          
3.0          0.018431      1      NaN
4.0          0.003850      2  0.00381
5.0          0.005609      1      NaN","                 Mean  Count      STD
smell value                          
3.0          0.018431      1      NaN
4.0          0.003850      2  0.00381
5.0          0.005609      1      NaN",-0.709155500742621,-0.709155500742621
2022-4-4-12,2022-4-4-12,85.71428571428571,85.71428571428571,"                Mean  Count       STD
smell value                          
2.0          0.00000      1       NaN
4.0          0.00836      6  0.004524","                Mean  Count       STD
smell value                          
2.0          0.00000      1       NaN
4.0          0.00836      6  0.004524",0.6076525314248008,0.6076525314248008
2022-4-4-13,2022-4-4-13,100.0,100.0,"                 Mean  Count  STD
smell value                      
3.0          0.004833      1  NaN
5.0          0.005068      1  NaN","                 Mean  Count  STD
smell value                      
3.0          0.004833      1  NaN
5.0          0.005068      1  NaN",0.9999999999999981,0.9999999999999981
2022-4-4-15,2022-4-4-15,100.0,100.0,"                 Mean  Count       STD
smell value                           
4.0          0.001431      4  0.000318
5.0          0.001110      1       NaN","                 Mean  Count       STD
smell value                           
4.0          0.001431      4  0.000318
5.0          0.001110      1       NaN",-0.46193831299854393,-0.46193831299854393
2022-4-4-16,2022-4-4-16,100.0,100.0,"                 Mean  Count       STD
smell value                           
5.0          0.002217      2  0.000571","                 Mean  Count       STD
smell value                           
5.0          0.002217      2  0.000571",,
2022-4-4-17,2022-4-4-17,100.0,100.0,"                 Mean  Count  STD
smell value                      
4.0          0.000532      1  NaN","                 Mean  Count  STD
smell value                      
4.0          0.000532      1  NaN",,
2022-4-4-18,2022-4-4-18,100.0,100.0,"                 Mean  Count      STD
smell value                          
3.0          0.001139      2  0.00048
5.0          0.000019      1      NaN","                 Mean  Count      STD
smell value                          
3.0          0.001139      2  0.00048
5.0          0.000019      1      NaN",-0.885628819769515,-0.885628819769515
2022-4-4-19,2022-4-4-19,100.0,100.0,"                 Mean  Count  STD
smell value                      
1.0          0.000002      1  NaN
2.0          0.000224      1  NaN","                 Mean  Count  STD
smell value                      
1.0          0.000002      1  NaN
2.0          0.000224      1  NaN",0.9999999999999999,0.9999999999999999
2022-4-4-20,2022-4-4-20,0.0,0.0,,,,
2022-4-4-21,2022-4-4-21,100.0,100.0,"                 Mean  Count  STD
smell value                      
1.0          0.004283      1  NaN
3.0          0.000096      1  NaN","                 Mean  Count  STD
smell value                      
1.0          0.004283      1  NaN
3.0          0.000096      1  NaN",-1.0,-1.0
