EpochTime,3.feed_25.NO2_PPM..3.feed_25.NO2_PPB
1477891800,0.0
1477895400,0.0
1477899000,0.0
1477902600,0.0
1477906200,0.001
1477909800,0.003
1477913400,0.011
1477917000,0.012
1477920600,0.003
1477924200,0.0
1477927800,0.0
1477931400,0.0
1477935000,0.0
1477938600,0.002
1477942200,0.01
1477945800,0.014
1477949400,0.011
1477953000,0.012
1477956600,0.018
1477960200,0.022
1477963800,0.019
1477967400,0.018
1477971000,0.015
1477974600,0.017
1477978200,0.011
1477981800,0.013
1477985400,0.009
1477989000,0.008
1477992600,0.011
1477996200,0.009
1477999800,0.012
1478003400,0.013
1478007000,0.014
1478010600,0.013
1478014200,0.01
1478017800,0.013
1478021400,0.012
1478025000,0.017
1478028600,0.015
1478032200,0.007
1478035800,0.015
1478039400,0.021
1478043000,0.037
1478046600,0.036
1478050200,0.024
1478053800,0.024
1478057400,0.026
1478061000,0.023
1478064600,0.017
1478068200,0.013
1478071800,0.015
1478075400,0.013
1478079000,0.016
1478082600,0.017
1478086200,0.021
1478089800,0.02
1478093400,0.025
1478097000,0.027
1478100600,0.018
1478104200,0.012
1478107800,0.006
1478111400,0.004
1478115000,0.002
1478118600,0.003
1478122200,0.003
1478125800,0.008
1478129400,0.017
1478133000,0.025
1478136600,0.03
1478140200,0.034
1478143800,0.024
1478147400,0.027
1478151000,0.025
1478154600,0.037
1478158200,0.024
1478161800,0.012
1478165400,0.008
1478169000,0.003
1478172600,0.004
1478176200,0.007
1478179800,0.008
1478183400,0.005
1478187000,0.005
1478190600,0.003
1478194200,0.002
1478197800,0.003
1478201400,0.002
1478205000,0.002
1478208600,0.002
1478212200,0.003
1478215800,0.003
1478219400,0.002
1478223000,0.002
1478226600,0.002
1478230200,0.001
1478233800,0.001
1478237400,0.001
1478241000,0.0
1478244600,0.001
1478248200,0.002
1478251800,0.002
1478255400,0.005
1478259000,0.006
1478262600,0.009
1478266200,0.004
1478269800,0.001
1478273400,0.0
1478277000,0.0
1478280600,0.0
1478284200,0.0
1478287800,0.0
1478291400,0.0
